Article,nazva,Year,ACC,TOTPROV,CONVIC,PROB,IMP,RESTOL,ARREST,CORRW,PUBLW,FINE,DEPR,LIFEIMP
313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",2017,120,99,11,5,2,0,0,0,0,3,0,0
313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",2018,121,93,10,6,1,0,0,0,0,3,0,0
313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",2023,107,65,6,1,4,0,0,0,0,1,0,0
313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",2013,62,57,12,5,3,0,1,0,0,3,0,0
313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",2024,74,58,5,2,2,0,0,0,0,1,0,0
313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",2021,98,73,9,9,0,0,0,0,0,0,0,0
313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",2022,63,47,4,2,1,0,0,0,0,1,0,0
313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",2015,138,103,9,5,3,1,0,0,0,0,0,0
313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",2019,110,84,7,2,3,0,0,0,0,2,0,0
313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",2020,81,56,7,1,3,0,0,0,0,3,0,0
313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",2016,97,56,20,10,7,1,0,0,0,2,0,0
313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",2014,106,91,18,5,1,1,0,0,0,11,0,0
320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",2013,175,43,13,0,0,0,0,0,0,13,0,0
320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",2022,189,140,20,1,0,0,0,0,0,19,0,0
320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",2024,425,142,14,0,0,0,0,0,0,14,0,0
320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",2015,185,61,32,0,0,0,0,0,0,28,0,0
320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",2018,95,38,9,0,0,0,0,0,0,4,0,0
320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",2021,211,144,25,0,0,0,0,0,0,25,0,0
320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",2019,163,38,24,1,0,0,0,0,0,22,0,0
320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",2023,67,34,13,0,0,0,0,0,0,13,0,0
320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",2020,87,28,14,0,0,1,0,0,0,13,0,0
320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",2014,95,37,31,1,0,0,0,0,0,29,0,0
320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",2016,128,45,26,0,0,0,0,0,0,26,0,0
320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",2017,98,44,15,0,0,0,0,0,0,14,0,0
354,"Стаття 354. Підкуп працівника підприємства, установи чи організації",2024,58,29,12,0,0,0,0,0,0,12,0,0
354,"Стаття 354. Підкуп працівника підприємства, установи чи організації",2020,33,27,22,0,0,0,0,0,2,20,0,0
354,"Стаття 354. Підкуп працівника підприємства, установи чи організації",2021,36,22,22,0,0,0,0,0,2,20,0,0
354,"Стаття 354. Підкуп працівника підприємства, установи чи організації",2022,33,15,9,0,0,1,0,0,1,7,0,0
354,"Стаття 354. Підкуп працівника підприємства, установи чи організації",2013,16,10,4,1,0,0,0,1,0,2,0,0
354,"Стаття 354. Підкуп працівника підприємства, установи чи організації",2018,34,25,23,0,0,0,0,0,2,21,0,0
354,"Стаття 354. Підкуп працівника підприємства, установи чи організації",2019,67,54,29,0,0,0,0,0,3,26,0,0
354,"Стаття 354. Підкуп працівника підприємства, установи чи організації",2016,25,12,23,0,0,0,0,0,0,23,0,0
354,"Стаття 354. Підкуп працівника підприємства, установи чи організації",2015,31,23,17,0,0,0,0,0,0,17,0,0
354,"Стаття 354. Підкуп працівника підприємства, установи чи організації",2023,54,49,12,1,0,0,0,0,0,10,0,0
354,"Стаття 354. Підкуп працівника підприємства, установи чи організації",2017,40,28,22,0,0,0,0,0,1,21,0,0
354,"Стаття 354. Підкуп працівника підприємства, установи чи організації",2014,21,16,13,1,0,0,0,0,1,7,0,0
357,"Стаття 357. Викрадення, привласнення, вимагання документів, штампів, печаток, заволодіння ними шляхом шахрайства чи зловживання службовим становищем або їх пошкодження",2021,1916,1406,128,38,8,5,3,0,1,73,0,0
357,"Стаття 357. Викрадення, привласнення, вимагання документів, штампів, печаток, заволодіння ними шляхом шахрайства чи зловживання службовим становищем або їх пошкодження",2016,2145,595,32,10,1,2,1,0,1,17,0,0
357,"Стаття 357. Викрадення, привласнення, вимагання документів, штампів, печаток, заволодіння ними шляхом шахрайства чи зловживання службовим становищем або їх пошкодження",2019,2135,1157,89,20,5,2,1,0,1,59,0,0
357,"Стаття 357. Викрадення, привласнення, вимагання документів, штампів, печаток, заволодіння ними шляхом шахрайства чи зловживання службовим становищем або їх пошкодження",2015,1828,463,47,13,2,2,4,0,0,24,0,0
357,"Стаття 357. Викрадення, привласнення, вимагання документів, штампів, печаток, заволодіння ними шляхом шахрайства чи зловживання службовим становищем або їх пошкодження",2020,2011,1265,99,18,6,2,3,0,0,69,0,0
357,"Стаття 357. Викрадення, привласнення, вимагання документів, штампів, печаток, заволодіння ними шляхом шахрайства чи зловживання службовим становищем або їх пошкодження",2024,2792,2416,269,60,11,14,4,0,0,136,0,0
357,"Стаття 357. Викрадення, привласнення, вимагання документів, штампів, печаток, заволодіння ними шляхом шахрайства чи зловживання службовим становищем або їх пошкодження",2014,1923,545,71,18,4,7,1,0,0,40,0,0
357,"Стаття 357. Викрадення, привласнення, вимагання документів, штампів, печаток, заволодіння ними шляхом шахрайства чи зловживання службовим становищем або їх пошкодження",2023,2474,2021,169,44,15,6,5,0,0,99,0,0
357,"Стаття 357. Викрадення, привласнення, вимагання документів, штампів, печаток, заволодіння ними шляхом шахрайства чи зловживання службовим становищем або їх пошкодження",2013,2470,670,93,29,2,6,7,0,1,48,0,0
357,"Стаття 357. Викрадення, привласнення, вимагання документів, штампів, печаток, заволодіння ними шляхом шахрайства чи зловживання службовим становищем або їх пошкодження",2018,1854,1020,43,8,1,2,3,0,0,28,0,0
357,"Стаття 357. Викрадення, привласнення, вимагання документів, штампів, печаток, заволодіння ними шляхом шахрайства чи зловживання службовим становищем або їх пошкодження",2017,1603,707,37,6,2,1,3,0,0,22,0,0
357,"Стаття 357. Викрадення, привласнення, вимагання документів, штампів, печаток, заволодіння ними шляхом шахрайства чи зловживання службовим становищем або їх пошкодження",2022,1638,1236,99,28,5,2,4,0,2,58,0,0
364,Стаття 364. Зловживання владою або службовим становищем,2020,4060,109,6,5,1,0,0,0,0,0,0,0
364,Стаття 364. Зловживання владою або службовим становищем,2022,2214,160,3,0,1,0,2,0,0,0,0,0
364,Стаття 364. Зловживання владою або службовим становищем,2014,2567,252,133,77,14,6,0,2,0,9,0,0
364,Стаття 364. Зловживання владою або службовим становищем,2023,2983,634,5,1,1,0,1,0,0,1,0,0
364,Стаття 364. Зловживання владою або службовим становищем,2013,3810,652,317,240,38,5,2,5,0,14,0,0
364,Стаття 364. Зловживання владою або службовим становищем,2015,3078,221,43,30,4,1,3,0,0,2,0,0
364,Стаття 364. Зловживання владою або службовим становищем,2019,4371,111,2,1,0,0,1,0,0,0,0,0
364,Стаття 364. Зловживання владою або службовим становищем,2016,3360,102,22,15,0,0,1,0,0,1,0,0
364,Стаття 364. Зловживання владою або службовим становищем,2017,3995,192,16,7,2,0,2,0,0,1,0,0
364,Стаття 364. Зловживання владою або службовим становищем,2024,2345,188,9,0,0,0,2,0,0,0,0,0
364,Стаття 364. Зловживання владою або службовим становищем,2021,3955,183,4,2,0,0,2,0,0,0,0,0
364,Стаття 364. Зловживання владою або службовим становищем,2018,3589,251,5,2,2,0,0,0,0,0,0,0
364-1,Стаття 364-1. Зловживання повноваженнями службовою особою юридичної особи приватного права незалежно від організаційно-правової форми,2024,106,25,7,0,0,0,0,0,0,5,0,0
364-1,Стаття 364-1. Зловживання повноваженнями службовою особою юридичної особи приватного права незалежно від організаційно-правової форми,2022,114,9,8,0,0,0,0,0,0,8,0,0
364-1,Стаття 364-1. Зловживання повноваженнями службовою особою юридичної особи приватного права незалежно від організаційно-правової форми,2018,244,29,15,0,0,0,3,0,0,12,0,0
364-1,Стаття 364-1. Зловживання повноваженнями службовою особою юридичної особи приватного права незалежно від організаційно-правової форми,2014,444,92,19,3,0,0,0,0,0,16,0,0
364-1,Стаття 364-1. Зловживання повноваженнями службовою особою юридичної особи приватного права незалежно від організаційно-правової форми,2017,323,34,9,0,1,0,0,0,0,8,0,0
